STU_CODE,NAME,Time_Sport_P0,Time_Sport_P1,Time_Sport_P2,Time_Sport_P3,Time_Sport_P4,Time_Sport_P5,Time_Sport_P6,Time_Life_P0,Time_Life_P1,Time_Life_P2,Time_Life_P3,Time_Life_P4,Time_Life_P5,Time_Life_P6,Time_Life_P7,Revise_Sport_P1,Revise_Sport_P2,Revise_Sport_P3,Revise_Sport_P4,Revise_Sport_P5,Revise_Sport_P6,Revise_Life_P1,Revise_Life_P2,Revise_Life_P3,Revise_Life_P4,Revise_Life_P5,Revise_Life_P6,Revise_Life_P7,Repeat_Sport_P1,Repeat_Sport_P2,Repeat_Sport_P3,Repeat_Sport_P4,Repeat_Sport_P5,Repeat_Sport_P6,Repeat_Life_P1,Repeat_Life_P2,Repeat_Life_P3,Repeat_Life_P4,Repeat_Life_P5,Repeat_Life_P6,Repeat_Life_P7,Before_Sport_P1,Before_Sport_P2,Before_Sport_P3,Before_Sport_P4,Before_Sport_P5,Before_Sport_P6,Before_Life_P1,Before_Life_P2,Before_Life_P3,Before_Life_P4,Before_Life_P5,Before_Life_P6,Before_Life_P7,After_Sport_P1,After_Sport_P2,After_Sport_P3,After_Sport_P4,After_Sport_P5,After_Sport_P6,After_Life_P1,After_Life_P2,After_Life_P3,After_Life_P4,After_Life_P5,After_Life_P6,After_Life_P7,AR_Sport_P1,AR_Sport_P2,AR_Sport_P3,AR_Sport_P4,AR_Sport_P5,AR_Sport_P6,AR_Life_P1,AR_Life_P2,AR_Life_P3,AR_Life_P4,AR_Life_P5,AR_Life_P6,AR_Life_P7
330300041044021,name,16.203,25.039,12.663,61.36599999999999,178.152,102.30799999999999,24.245,34.323,12.048,15.600999999999999,75.50999999999999,338.22700000000003,15.135000000000002,87.67200000000001,7.003,0,1,11,5,2,0,0,1,4,0,1,0,0,1,1,6,8,4,1,1,2,2,2,1,2,1,14.998,11.999,10.901,39.161,2.797,13.878,3.368,12.924,39.662,29.427,1.796,1.993,1.587,2.943,1.664,4.838,26.699,3.216,11.367,2.172,2.461,33.224,60.503,2.038,4.169,4.435,0,0,0,0,0,0,0,0,0,2,2,2,0
330300041042521,name,7.952,36.588,23.697,94.53600000000002,400.95200000000006,248.307,22.342,23.686,21.817,177.736,354.39700000000005,186.649,8.297,363.516,-1,0,1,25,3,7,1,0,1,15,0,0,0,-5,1,2,15,15,3,2,1,2,5,4,1,1,0,18.151,12.86,13.289,23.495,5.904,12.29,10.022,99.379,26.375,48.184,2.603,1.522,-1,6.415,4.71,5.401,4.51,10.112,2.598,5.012,2.023,20.299,2.998,1.192,362.994,-1,0,0,0,0,0,0,-1,-1,-1,2,2,2,-1
330300041044621,name,4.869,31.515,12.717,14.908999999999999,88.191,14.001,5.106,7.797000000000001,20.112,7.144,4.744,13.744,4.866,18.691,7.305,0,0,6,2,0,0,0,0,0,0,0,0,0,1,1,4,4,1,1,1,1,1,1,1,1,1,15.941,12.33,7.7,4.503,2.098,3.197,12.732,6.791,4.659,2.406,1.557,2.204,2.618,2.785,1.387,1.394,3.197,1.702,2.909,2.406,1.353,1.085,1.244,1.01,6.38,2.105,0,0,0,0,0,0,0,0,0,2,2,2,0
330300041040121,name,18.094,34.058,18.945,56.506,161.19600000000003,28.598,7.369,12.189,18.926,20.408,31.567999999999998,119.105,276.105,101.107,24.695,0,0,12,0,0,0,0,0,2,0,1,3,0,1,1,7,7,1,1,1,1,1,1,1,1,1,10.498,17.241,25.397,30.094,8.199,4.804,3.102,19.775,28.468,51.3,118.1,5.997,8.293,9.157,2.704,3.402,32.201,1.901,3.565,2.426,1.633,2.592,3.204,2.2,6.01,6.805,0,0,0,0,0,0,0,0,0,2,2,2,0
330300041042221,name,3.814,29.561,6.03,3.6959999999999997,19.904,50.699,4.327,1.971,43.234,2.493,6.472,10.204,5.013,24.483,16.708,0,0,0,0,0,0,4,0,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,19.287,6.026,3.618,7.405,5.4,2.0,3.497,2.473,4.571,4.504,1.602,1.583,4.6,1.675,1.004,1.078,1.3,2.596,3.327,1.625,1.02,1.373,2.303,1.516,13.064,9.206,0,0,0,0,0,0,0,0,0,2,2,2,0
330300041041021,name,9.969,24.939,8.414,19.667,152.7,142.91,2.097,0.1100000000000001,9.716,1.8010000000000002,1.2730000000000001,342.043,38.745,38.83,5.565,0,0,3,2,1,0,0,0,0,0,0,3,0,1,1,3,4,3,1,1,1,1,3,2,2,1,14.607,8.161,14.346,49.473,70.88,0.999,1.898,1.777,1.386,173.109,8.601,1.416,1.565,1.842,1.253,1.435,31.992,34.698,2.098,0.911,1.024,0.887,1.598,23.633,0.888,3.291,0,0,0,0,0,0,0,0,0,2,2,2,0
330300041040721,name,7.5169999999999995,32.483,16.853,6.481,30.858999999999998,56.766,9.388,4.55,16.573,21.101,63.893,74.003,185.443,111.0,31.083,2,0,0,0,0,0,0,2,1,0,0,1,4,1,1,1,2,2,1,1,2,2,1,1,1,1,6.191,15.603,6.32,15.99,8.503,6.852,2.986,14.541,36.61,34.411,162.85,4.213,3.565,6.493,2.25,1.161,5.64,2.447,3.536,1.903,1.659,9.088,2.278,1.238,1.732,7.518,0,0,0,0,0,0,0,0,0,2,2,2,0
330300241063721,name,2.403,27.702,14.094,13.124,52.872,34.112,5.01,1.8889999999999998,13.196,20.605,20.597,145.101,278.538,125.162,38.798,0,0,2,1,1,0,0,0,0,0,3,0,0,1,1,2,2,1,1,1,1,1,2,2,1,1,16.293,13.29,10.496,1.696,6.201,3.391,6.997,18.501,20.198,23.8,59.902,5.173,5.501,2.809,1.804,1.427,6.598,1.912,2.619,1.395,3.104,1.399,1.797,67.4,2.094,30.296,0,0,0,0,0,0,0,0,0,2,2,2,0
330300041041621,name,12.818,25.516,38.166,5.414,127.697,106.517,12.071,20.001,55.555,12.2,18.346,127.096,94.81200000000001,48.507,13.13,0,0,0,3,3,0,0,0,0,0,2,1,0,1,1,1,2,2,1,1,1,1,5,5,1,1,12.682,37.894,5.403,7.285,4.004,10.08,40.628,11.346,18.171,20.602,23.711,7.208,3.897,4.132,1.272,1.011,13.904,1.596,2.991,5.83,1.854,1.175,2.613,2.1,1.604,4.034,0,0,0,0,0,0,0,0,0,2,2,2,0
330300041043121,name,11.124,15.741,13.639,52.391000000000005,155.27,86.418,12.304,9.757,18.249,8.22,33.177,152.871,90.932,32.112,13.405,0,0,11,9,2,0,0,0,3,0,0,0,0,1,1,6,9,4,1,1,1,1,2,2,1,1,6.455,11.61,21.978,3.664,5.6,10.295,5.044,7.725,19.577,31.708,6.0,3.305,8.285,2.489,3.029,2.164,2.273,3.801,3.009,1.585,1.495,8.767,1.369,0.904,1.116,2.522,0,0,0,0,0,0,0,0,0,2,2,2,0
